How old are you?,Which of the following best describes your gender identity?,Do you consider yourself a member of the LGBT+ community?,On what continent do you reside?,"Using only its 3- to 4-letter abbreviation, what timezone are you in?",What is your highest level of education?,"Are you currently pursuing an education, either part- or full-time?",Which of the following best describes your current employment status?,"In an average week, on how many days do you watch anime, read manga, doujin or light novels, or play visual novels?",Have you ever suffered from social anxiety?,Which of the following do you consume? Check all that apply. ,How do you typically access anime?,"Have you ever held a paid subscription to an anime-focused streaming service such as VRV, Crunchyroll, or Funimation?","When you watch anime, do you prefer subs or dubs?","When choosing an anime, manga, LN, or VN, how important do you weigh visual qualities such as style, character design, and backgrounds?","When choosing an anime, manga, or LN, how important do you weigh storytelling qualities such as dialogue, character development, and conflict?","When choosing an anime, manga, or LN, how important do you weigh character relatability?",What genre do you most enjoy the most?,What genre do you most enjoy second-most?,Have you ever considered subscribing to a VTuber?,"Have you ever watched/read an anime, manga, doujin, LN, or VN, and felt the characters or story were cheapened through over-sexualization?","In the last month, have you consumed an H [adult] anime, manga, doujin, light, or a visual novel?","Do you think anime, manga, or the like could benefit from the better representation of certain social groups?","Were there more stories available for older, more mature audiences, would you consider reading or watching them?"
18 - 25,Man,No,Europe,CET,High School Diploma / GED,Yes,Unemployed,3,No,Anime,Other sources,No,Subs,6,10,5,Tragedy / Psychological,"Sci-Fi, including Military and Mecha",No,Yes,No,Yes,Yes
18 - 25,Woman,Yes,North America,USCT,Bachelor's,No,Part-time worker,2,Yes,Anime,"A generalized streaming service such as Netlfix, Hulu, or Amazon Prime Video",Yes,Dubs,4,10,4,Romance / Drama,Action,Yes,Yes,Yes,Yes,Yes
18 - 25,Man,No,North America,Hst,High School Diploma / GED,No,Full-time,5,Yes,Anime,"An anime-focused streaming service such as VRV, Crunchyroll, or Funimation",Yes,Subs,5,9,9,Action,"Comedy, including Slice-of-Life",No,Maybe,No,Yes,Yes
18 - 25,Man,No,Europe,EET,High School Diploma / GED,Yes,Unemployed,7,Yes,Anime;Manga;Doujinshi,"An anime-focused streaming service such as VRV, Crunchyroll, or Funimation",Yes,Subs,8,8,7,Romance / Drama,"Comedy, including Slice-of-Life",No,Yes,No,Yes,Yes
18 - 25,Woman,No,North America,PST,Bachelor's,No,Unemployed,7,Yes,Anime;Manga;Doujinshi;Light Novels,"An anime-focused streaming service such as VRV, Crunchyroll, or Funimation",No,Subs,8,10,7,Fantasy / Issekai,Action,No,Yes,Yes,Maybe,Yes
17 or under,Man,No,North America,MDT,Some high school,Yes,Unemployed,4,No,Anime;Manga;Doujinshi,Other sources,No,Subs,7,9,5,Romance / Drama,"Comedy, including Slice-of-Life",No,Yes,No,Yes,Yes
18 - 25,Woman,Yes,North America,EST ,Bachelor's,Yes,Part-time worker,7,Yes,Anime;Manga,"An anime-focused streaming service such as VRV, Crunchyroll, or Funimation",Yes,Subs,8,7,4,Tragedy / Psychological,"Comedy, including Slice-of-Life",Yes,Yes,Yes,Maybe,Yes
17 or under,Man,No,Asia,hkt,Some high school,Yes,Unemployed,5,No,Anime;Manga;Doujinshi,Other sources,No,Subs,7,9,5,Action,Romance / Drama,Yes,No,No,Maybe,Yes
17 or under,Man,No,North America,EST,Some high school,Yes,Unemployed,7,No,Anime;Manga;Doujinshi,Other sources,No,Subs,7,7,9,"Comedy, including Slice-of-Life",Action,No,No,Yes,Maybe,Yes
17 or under,Man,Yes,North America,EST,High School Diploma / GED,Yes,Part-time worker,7,Yes,Anime;Manga;Doujinshi;Light Novels,"An anime-focused streaming service such as VRV, Crunchyroll, or Funimation",Yes,Subs,9,8,6,Romance / Drama,"Comedy, including Slice-of-Life",Yes,Yes,Yes,Maybe,Yes
18 - 25,Man,No,Europe,Cet,Bachelor's,Yes,Unemployed,2,Yes,Anime;Manga;Doujinshi;Light Novels;Visual Novels,Other sources,Yes,Subs,9,9,1,Tragedy / Psychological,"Sci-Fi, including Military and Mecha",No,Yes,Yes,Yes,Yes
18 - 25,Man,No,North America,Est,Some high school,No,Unemployed,7,Yes,Anime;Manga;Doujinshi,"An anime-focused streaming service such as VRV, Crunchyroll, or Funimation",Yes,Subs,8,8,7,Fantasy / Issekai,Action,No,Maybe,Yes,No,Yes
18 - 25,Man,No,Europe,GMT,High School Diploma / GED,No,Full-time,5,Yes,Anime;Manga;Doujinshi;Light Novels;Visual Novels,"An anime-focused streaming service such as VRV, Crunchyroll, or Funimation",Yes,Subs,5,10,0,Tragedy / Psychological,Romance / Drama,Yes,Yes,Yes,Yes,Yes
17 or under,Woman,Yes,Europe,GMT,Some high school,Yes,Unemployed,7,No,Anime;Manga,Other sources,No,Subs,7,9,3,"Comedy, including Slice-of-Life",Action,No,Yes,No,Maybe,No
26 - 33,Man,No,Europe,GMT,High School Diploma / GED,No,Full-time,5,No,Anime;Manga;Doujinshi,"An anime-focused streaming service such as VRV, Crunchyroll, or Funimation",Yes,Subs,8,7,3,Action,Fantasy / Issekai,Yes,Yes,Yes,Maybe,Yes
18 - 25,Man,No,North America,EST,High School Diploma / GED,Yes,Unemployed,5,Yes,Anime;Manga;Doujinshi;Light Novels,Other sources,No,Subs,8,10,7,"Sci-Fi, including Military and Mecha",Romance / Drama,Yes,Yes,Yes,Maybe,Yes
18 - 25,Man,No,North America,CST,High School Diploma / GED,Yes,Unemployed,4,No,Anime;Manga,Other sources,No,Dubs,4,10,6,Action,Tragedy / Psychological,No,Yes,Yes,Maybe,Yes
18 - 25,Man,No,Europe,CET,Bachelor's,Yes,Unemployed,6,Yes,Anime;Manga;Light Novels,"An anime-focused streaming service such as VRV, Crunchyroll, or Funimation",Yes,Subs,8,8,6,Tragedy / Psychological,Fantasy / Issekai,No,Yes,Yes,Maybe,Yes
18 - 25,Man,No,North America,EST,Bachelor's,No,Unemployed,5,Yes,Anime;Manga;Visual Novels,Other sources,Yes,Subs,2,9,4,Tragedy / Psychological,Fantasy / Issekai,No,Yes,Yes,Maybe,Yes
34 - 41,Man,No,North America,EST,Bachelor's,No,Full-time,,Yes,Anime;Manga;Light Novels,Other sources,No,Dubs,7,10,8,Tragedy / Psychological,"Sci-Fi, including Military and Mecha",No,Yes,No,Yes,Yes
18 - 25,Man,No,North America,EST,Master's,No,Unemployed,4,No,Anime;Manga,"A generalized streaming service such as Netlfix, Hulu, or Amazon Prime Video",No,Subs,,,,"Comedy, including Slice-of-Life",Action,No,Yes,Yes,Yes,Yes
18 - 25,Man,No,North America,MST,Bachelor's,No,Full-time,7,Yes,Anime;Manga,"An anime-focused streaming service such as VRV, Crunchyroll, or Funimation",Yes,Subs,8,10,6,Action,Fantasy / Issekai,No,Yes,Yes,No,Yes
26 - 33,Man,No,North America,EST,Bachelor's,No,Full-time,6,No,Anime,"A generalized streaming service such as Netlfix, Hulu, or Amazon Prime Video",Yes,Dubs,6,10,10,Action,Tragedy / Psychological,No,Yes,Yes,Yes,Yes
26 - 33,Man,No,North America,CST,Bachelor's,No,Full-time,4,Yes,Anime;Manga,Other sources,No,Subs,8,8,6,"Sci-Fi, including Military and Mecha",Action,No,Yes,Yes,Yes,Yes
18 - 25,Woman,Yes,Europe,CET,High School Diploma / GED,Yes,Unemployed,7,No,Anime;Manga;Doujinshi;Light Novels;Visual Novels,Other sources,No,Subs,7,7,2,"Comedy, including Slice-of-Life",Romance / Drama,No,Yes,Yes,Maybe,Yes
18 - 25,Man,No,Australia,GMT+10,Bachelor's,Yes,Unemployed,7,No,Anime;Manga;Light Novels,Other sources,No,Subs,3,7,5,Romance / Drama,Action,No,No,Yes,No,Yes
18 - 25,Man,No,Europe,GMT,High School Diploma / GED,Yes,Unemployed,7,Yes,Anime;Manga,Other sources,No,Subs,8,9,3,"Comedy, including Slice-of-Life",Supernatural / Magic,No,Yes,Yes,Yes,Yes
18 - 25,GNC or Genderqueer,Yes,North America,EST,High School Diploma / GED,No,Unemployed,7,Yes,Manga,"An anime-focused streaming service such as VRV, Crunchyroll, or Funimation",No,Subs,6,9,6,"Comedy, including Slice-of-Life",Action,No,Yes,Yes,Yes,Yes
18 - 25,Man,No,Europe,UTC+1,High School Diploma / GED,Yes,Part-time worker,7,No,Manga;Doujinshi,I don't watch anime.,No,Subs,2,8,5,"Comedy, including Slice-of-Life",Romance / Drama,No,Yes,Yes,Maybe,Yes
18 - 25,Man,No,Europe,GMT+1,Bachelor's,Yes,Unemployed,7,Yes,Anime;Manga;Doujinshi;Light Novels,Other sources,No,Subs,7,9,0,Tragedy / Psychological,Action,No,No,No,No,No
26 - 33,Man,No,Europe,CET,Bachelor's,No,Full-time,6,No,Anime;Manga;Doujinshi;Light Novels;Visual Novels,Other sources,No,Subs,4,9,7,Romance / Drama,"Comedy, including Slice-of-Life",No,Maybe,Yes,Maybe,Yes
18 - 25,Man,No,North America,PST,Bachelor's,No,Full-time,5,No,Anime;Manga,"An anime-focused streaming service such as VRV, Crunchyroll, or Funimation",Yes,Subs,8,10,8,Action,"Comedy, including Slice-of-Life",No,No,No,No,Yes
18 - 25,Man,No,Europe,Cote,Bachelor's,Yes,Part-time worker,7,Yes,Anime;Manga;Doujinshi,"An anime-focused streaming service such as VRV, Crunchyroll, or Funimation",Yes,Subs,7,7,5,Action,Romance / Drama,No,Yes,Yes,Yes,Yes
18 - 25,Man,No,Europe,Cote,Bachelor's,Yes,Part-time worker,7,Yes,Anime;Manga;Doujinshi,"An anime-focused streaming service such as VRV, Crunchyroll, or Funimation",Yes,Subs,7,7,5,Action,Romance / Drama,No,Yes,Yes,Yes,Yes
18 - 25,Man,No,North America,Est,High School Diploma / GED,Yes,Part-time worker,6,Yes,Manga,I don't watch anime.,Yes,Subs,8,9,5,Action,"Comedy, including Slice-of-Life",No,Yes,No,Yes,Yes
18 - 25,Man,No,North America,Est,High School Diploma / GED,Yes,Unemployed,7,Yes,Anime;Manga;Doujinshi,"A generalized streaming service such as Netlfix, Hulu, or Amazon Prime Video",Yes,Subs,5,10,0,Tragedy / Psychological,Romance / Drama,Yes,Yes,Yes,Maybe,Yes
26 - 33,Fluid or Multigender,No,South America,Brt,Trade / Vocational School,Yes,Unemployed,6,Yes,Anime,"An anime-focused streaming service such as VRV, Crunchyroll, or Funimation",Yes,Subs,7,9,7,"Comedy, including Slice-of-Life",Action,Yes,Yes,Yes,Yes,Yes
18 - 25,Man,No,Europe,CET,Bachelor's,Yes,Part-time worker,4,No,Anime;Manga;Light Novels;Visual Novels,"A generalized streaming service such as Netlfix, Hulu, or Amazon Prime Video",No,Subs,7,10,8,Romance / Drama,Tragedy / Psychological,No,Yes,Yes,Maybe,Yes
18 - 25,Man,No,Australia,AEDT,Bachelor's,No,Unemployed,7,Yes,Anime;Manga,Other sources,No,Subs,5,9,1,"Comedy, including Slice-of-Life",Fantasy / Issekai,No,Maybe,Yes,Yes,Yes
18 - 25,Man,No,North America,PST,Bachelor's,No,Part-time worker,7,Yes,Anime;Manga;Doujinshi;Light Novels,"A generalized streaming service such as Netlfix, Hulu, or Amazon Prime Video",No,Subs,8,9,6,Supernatural / Magic,Fantasy / Issekai,No,Yes,Yes,Yes,Yes
18 - 25,Man,No,North America,PST,Bachelor's,No,Part-time worker,7,Yes,Anime;Manga;Doujinshi;Light Novels,"A generalized streaming service such as Netlfix, Hulu, or Amazon Prime Video",No,Subs,8,9,6,Supernatural / Magic,Fantasy / Issekai,No,Yes,Yes,Yes,Yes
17 or under,Man,No,North America,pst,Some high school,Yes,Unemployed,7,Yes,Anime;Manga;Light Novels,Other sources,No,Dubs,7,9,3,Romance / Drama,Action,No,Yes,Yes,Maybe,Yes
17 or under,Man,No,North America,MST,Some high school,Yes,Unemployed,6,No,Anime;Manga;Visual Novels,"An anime-focused streaming service such as VRV, Crunchyroll, or Funimation",No,Subs,5,8,6,Action,Supernatural / Magic,Yes,Maybe,Yes,Yes,Yes
18 - 25,Woman,No,North America,EST,High School Diploma / GED,Yes,Unemployed,2,Yes,Anime;Manga,Other sources,No,Subs,7,10,5,"Comedy, including Slice-of-Life",Romance / Drama,No,Yes,No,Yes,Yes
18 - 25,Agender,Yes,North America,EST,High School Diploma / GED,Yes,Unemployed,5,Yes,Anime;Manga,Other sources,No,Subs,7,6,10,Tragedy / Psychological,Romance / Drama,No,Yes,No,Yes,Yes
34 - 41,Woman,No,North America,CST,Master's,No,Full-time,7,No,Anime;Manga,"An anime-focused streaming service such as VRV, Crunchyroll, or Funimation",Yes,Dubs,7,10,6,Romance / Drama,Supernatural / Magic,No,Yes,No,Yes,Yes
26 - 33,Man,No,Europe,EST,Trade / Vocational School,No,Full-time,7,Yes,Manga;Doujinshi;Light Novels,Other sources,No,Subs,7,9,4,Tragedy / Psychological,"Comedy, including Slice-of-Life",Yes,Yes,Yes,Yes,Yes
18 - 25,Man,No,South America,EST,Master's,No,Full-time,4,No,Manga,I don't watch anime.,No,Subs,4,9,9,Romance / Drama,"Comedy, including Slice-of-Life",No,Yes,Yes,No,Yes
18 - 25,Man,No,North America,LAX,Bachelor's,Yes,Part-time worker,7,Yes,Anime;Manga;Doujinshi;Light Novels;Visual Novels,"An anime-focused streaming service such as VRV, Crunchyroll, or Funimation",No,Subs,7,9,8,"Comedy, including Slice-of-Life",Action,No,Maybe,Yes,Yes,Yes
17 or under,Man,Yes,North America,PST,Some high school,Yes,Unemployed,7,Yes,Anime;Manga;Light Novels,Other sources,No,Subs,6,8,2,"Comedy, including Slice-of-Life",Fantasy / Issekai,Yes,Yes,Yes,Maybe,Yes
34 - 41,Man,No,Australia,aedt,Bachelor's,No,Full-time,7,No,Anime,"An anime-focused streaming service such as VRV, Crunchyroll, or Funimation",Yes,Dubs,0,9,8,Action,"Comedy, including Slice-of-Life",No,Yes,No,Maybe,Yes
17 or under,Man,No,North America,Est,Some high school,Yes,Unemployed,4,No,Anime;Manga,Other sources,No,Subs,8,10,5,Action,Romance / Drama,No,No,Yes,Yes,Yes
17 or under,Man,No,Asia,IST,Some high school,Yes,Unemployed,7,Yes,Anime;Manga;Doujinshi;Light Novels,Other sources,No,Subs,6,9,7,"Comedy, including Slice-of-Life",Supernatural / Magic,No,Yes,Yes,Yes,Yes
18 - 25,Man,No,North America,GMT-5,High School Diploma / GED,Yes,Unemployed,7,Yes,Anime;Manga;Doujinshi,Other sources,Yes,Subs,9,10,3,"Sci-Fi, including Military and Mecha",Supernatural / Magic,No,Yes,Yes,No,No
18 - 25,Man,Yes,North America,Est,High School Diploma / GED,Yes,Part-time worker,7,No,Anime;Manga;Doujinshi,Other sources,No,Subs,6,10,2,Romance / Drama,Tragedy / Psychological,No,Yes,Yes,Yes,Yes
18 - 25,Man,No,North America,GMT-6,High School Diploma / GED,Yes,Full-time,7,No,Anime;Manga;Light Novels;Visual Novels,"An anime-focused streaming service such as VRV, Crunchyroll, or Funimation",No,Subs,6,9,7,Romance / Drama,Fantasy / Issekai,Yes,Yes,Yes,Yes,Yes
26 - 33,Man,No,North America,MST,Associate's,No,Full-time,7,No,Anime;Manga;Doujinshi;Light Novels,Other sources,No,Subs,8,6,3,Action,"Sci-Fi, including Military and Mecha",Yes,No,Yes,No,No
18 - 25,Man,No,North America,MST,High School Diploma / GED,Yes,Unemployed,7,Yes,Manga;Doujinshi;Light Novels,"An anime-focused streaming service such as VRV, Crunchyroll, or Funimation",No,Subs,8,10,5,"Sci-Fi, including Military and Mecha",Fantasy / Issekai,No,Yes,Yes,Maybe,
18 - 25,Woman,Yes,Asia,ICT,Bachelor's,Yes,Unemployed,4,Yes,Anime;Manga;Doujinshi;Visual Novels,Other sources,No,Subs,8,10,7,Tragedy / Psychological,Romance / Drama,No,Maybe,Yes,Maybe,Yes
18 - 25,Man,No,Europe,CET,High School Diploma / GED,Yes,Unemployed,3,Yes,Anime,Other sources,No,Subs,7,8,3,Tragedy / Psychological,Action,No,No,No,No,Yes
18 - 25,Man,Yes,Europe,CET,Associate's,No,Full-time,7,Yes,Anime;Manga;Doujinshi,Other sources,No,Subs,8,8,6,"Comedy, including Slice-of-Life",Tragedy / Psychological,Yes,Yes,Yes,Yes,Yes
26 - 33,Man,No,Australia,GMT+13,Trade / Vocational School,No,Unemployed,7,Yes,Manga,"An anime-focused streaming service such as VRV, Crunchyroll, or Funimation",No,Subs,6,7,2,"Comedy, including Slice-of-Life",Action,No,Yes,Yes,Yes,Yes
26 - 33,Man,No,Europe,CET,Trade / Vocational School,No,Full-time,5,No,Anime;Manga;Doujinshi;Light Novels,"An anime-focused streaming service such as VRV, Crunchyroll, or Funimation",Yes,Subs,7,9,0,"Comedy, including Slice-of-Life",Romance / Drama,No,Yes,Yes,Maybe,Yes
18 - 25,Otherwise Nonbinary,Yes,North America,EST,Bachelor's,Yes,Part-time worker,7,Yes,Anime;Manga,Other sources,Yes,Subs,7,10,5,Supernatural / Magic,Tragedy / Psychological,No,Yes,No,Yes,Yes
18 - 25,Man,No,Europe,CET,High School Diploma / GED,Yes,Unemployed,4,Yes,Anime;Manga;Doujinshi;Light Novels;Visual Novels,Other sources,No,Subs,7,,6,"Sci-Fi, including Military and Mecha","Comedy, including Slice-of-Life",No,No,Yes,No,Yes
18 - 25,Man,No,North America,CET,Associate's,Yes,Part-time worker,3,Yes,Anime;Manga;Doujinshi,Other sources,No,Subs,7,8,3,Fantasy / Issekai,"Comedy, including Slice-of-Life",No,No,Yes,Maybe,Yes
26 - 33,Man,No,,AEST,Bachelor's,No,Part-time worker,7,Yes,Anime;Manga;Doujinshi;Light Novels;Visual Novels,Other sources,No,Subs,6,7,0,Tragedy / Psychological,"Comedy, including Slice-of-Life",No,No,Yes,No,Yes
18 - 25,Man,Yes,Asia,IST,Bachelor's,Yes,Unemployed,6,Yes,Anime;Manga;Doujinshi;Light Novels,Other sources,No,Subs,8,9,8,"Comedy, including Slice-of-Life",Action,Yes,Yes,Yes,Maybe,Yes
18 - 25,Man,No,Asia,PST,High School Diploma / GED,Yes,Unemployed,7,Yes,Anime;Manga;Doujinshi;Light Novels;Visual Novels,Other sources,No,Subs,7,8,5,"Comedy, including Slice-of-Life",Action,Yes,No,Yes,Yes,Yes
18 - 25,Man,No,North America,MST ,High School Diploma / GED,Yes,Unemployed,7,Yes,Anime;Manga;Doujinshi,"An anime-focused streaming service such as VRV, Crunchyroll, or Funimation",Yes,Dubs,6,8,6,Action,"Comedy, including Slice-of-Life",Yes,Maybe,Yes,No,No
26 - 33,Woman,No,Europe,,,Yes,,4,Yes,Anime;Manga;Doujinshi;Visual Novels,Other sources,No,Subs,6,6,5,Tragedy / Psychological,Fantasy / Issekai,No,Yes,No,Maybe,Yes
17 or under,Man,No,South America,utc-3,Some high school,No,Unemployed,6,No,Anime;Manga;Doujinshi;Light Novels;Visual Novels,"An anime-focused streaming service such as VRV, Crunchyroll, or Funimation",No,Subs,6,9,8,Romance / Drama,"Comedy, including Slice-of-Life",No,Maybe,Yes,Yes,Yes
18 - 25,Woman,No,North America,PST,Bachelor's,No,Full-time,7,Yes,Anime;Manga;Doujinshi;Light Novels,"An anime-focused streaming service such as VRV, Crunchyroll, or Funimation",No,Subs,8,9,6,Romance / Drama,"Comedy, including Slice-of-Life",No,No,Yes,Yes,Yes
18 - 25,Man,No,Europe,GMT,Master's,Yes,Unemployed,7,No,Anime;Manga;Doujinshi;Light Novels,"An anime-focused streaming service such as VRV, Crunchyroll, or Funimation",Yes,Subs,6,10,3,Romance / Drama,"Comedy, including Slice-of-Life",No,Yes,Yes,Maybe,Yes
18 - 25,Man,No,North America,PST,Associate's,Yes,Unemployed,5,No,Anime;Manga,"An anime-focused streaming service such as VRV, Crunchyroll, or Funimation",No,Subs,10,5,1,"Comedy, including Slice-of-Life",Tragedy / Psychological,Yes,No,Yes,No,Yes
26 - 33,Man,No,North America,PST,Associate's,Yes,Part-time worker,3,Yes,Anime,"An anime-focused streaming service such as VRV, Crunchyroll, or Funimation",Yes,Subs,5,6,0,"Comedy, including Slice-of-Life",Action,Yes,No,Yes,No,No
26 - 33,Man,No,Asia,GMT+8,Bachelor's,No,Unemployed,4,Yes,Anime;Manga;Doujinshi;Light Novels;Visual Novels,Other sources,No,Subs,7,6,5,"Comedy, including Slice-of-Life",Fantasy / Issekai,Yes,Maybe,Yes,No,No
18 - 25,Man,No,North America,EST,High School Diploma / GED,Yes,Unemployed,7,No,Manga,Other sources,No,Subs,6,9,3,Action,Romance / Drama,No,Maybe,Yes,No,Yes
18 - 25,Man,No,North America,PST,Bachelor's,No,Unemployed,5,No,Manga;Doujinshi,I don't watch anime.,No,Subs,5,8,5,Romance / Drama,"Comedy, including Slice-of-Life",Yes,Yes,Yes,Yes,Yes
17 or under,Man,No,Asia,IST,Some high school,Yes,Unemployed,6,Yes,Manga;Doujinshi,I don't watch anime.,No,Subs,8,7,9,Action,Romance / Drama,No,Yes,Yes,Yes,No
18 - 25,Man,No,North America,PST,Bachelor's,No,Part-time worker,6,Yes,Anime;Manga;Doujinshi;Light Novels,Other sources,No,Subs,7,10,5,"Comedy, including Slice-of-Life",,No,Yes,Yes,Yes,No
18 - 25,Man,No,North America,PST,Bachelor's,No,Full-time,7,No,Anime;Manga;Light Novels,"An anime-focused streaming service such as VRV, Crunchyroll, or Funimation",Yes,Subs,8,10,9,"Comedy, including Slice-of-Life",Action,No,No,No,No,Yes
26 - 33,Man,No,Europe,GMT,High School Diploma / GED,No,Full-time,7,No,Anime;Manga;Doujinshi,"An anime-focused streaming service such as VRV, Crunchyroll, or Funimation",Yes,Subs,9,8,0,"Comedy, including Slice-of-Life","Sci-Fi, including Military and Mecha",Yes,No,Yes,No,Yes
26 - 33,Man,No,Europe,MEZ,High School Diploma / GED,No,Full-time,7,No,Anime;Manga;Doujinshi;Light Novels,"An anime-focused streaming service such as VRV, Crunchyroll, or Funimation",Yes,Subs,9,8,9,Fantasy / Issekai,"Comedy, including Slice-of-Life",Yes,Yes,Yes,Yes,Yes
26 - 33,Man,No,North America,EST,Associate's,No,Full-time,7,Yes,Anime;Manga;Doujinshi,"An anime-focused streaming service such as VRV, Crunchyroll, or Funimation",Yes,Subs,7,10,3,Tragedy / Psychological,Action,No,Yes,Yes,Maybe,Yes
26 - 33,Man,No,Europe,GMT,High School Diploma / GED,No,Part-time worker,7,Yes,Anime;Manga;Doujinshi;Visual Novels,"An anime-focused streaming service such as VRV, Crunchyroll, or Funimation",No,Subs,7,9,3,Tragedy / Psychological,"Sci-Fi, including Military and Mecha",No,No,Yes,Maybe,Yes
26 - 33,Man,No,North America,EST,Bachelor's,No,Full-time,4,Yes,Anime;Manga;Light Novels,"An anime-focused streaming service such as VRV, Crunchyroll, or Funimation",Yes,Subs,7,9,4,Fantasy / Issekai,"Comedy, including Slice-of-Life",No,Yes,No,Maybe,Yes
18 - 25,Man,No,North America,PDT,High School Diploma / GED,Yes,Part-time worker,7,Yes,Anime;Manga;Doujinshi;Light Novels;Visual Novels,"An anime-focused streaming service such as VRV, Crunchyroll, or Funimation",Yes,Subs,4,7,3,Fantasy / Issekai,"Sci-Fi, including Military and Mecha",Yes,Maybe,Yes,Maybe,Yes
18 - 25,Man,Yes,North America,EST,Associate's,Yes,Full-time,5,Yes,Anime;Manga;Doujinshi;Light Novels;Visual Novels,Other sources,Yes,Subs,7,10,9,"Comedy, including Slice-of-Life",Fantasy / Issekai,Yes,Yes,Yes,No,Yes
18 - 25,Man,Yes,South America,GMT-4,High School Diploma / GED,No,Unemployed,5,Yes,Anime;Manga;Doujinshi;Visual Novels,Other sources,No,Subs,7,8,3,"Comedy, including Slice-of-Life",Tragedy / Psychological,No,Yes,Yes,Yes,Yes
17 or under,Man,No,Europe,UTC,High School Diploma / GED,Yes,Unemployed,3,Yes,Anime;Manga;Doujinshi,"An anime-focused streaming service such as VRV, Crunchyroll, or Funimation",No,Subs,8,10,7,Tragedy / Psychological,Romance / Drama,Yes,No,Yes,No,Yes
17 or under,Man,No,North America,,High School Diploma / GED,Yes,Part-time worker,7,Yes,Anime;Manga;Doujinshi;Light Novels;Visual Novels,"An anime-focused streaming service such as VRV, Crunchyroll, or Funimation",Yes,Subs,6,10,8,Tragedy / Psychological,Romance / Drama,Yes,Yes,Yes,No,Yes
18 - 25,Man,No,Asia,GMT+6:30,Associate's,Yes,Part-time worker,7,Yes,Anime;Manga;Doujinshi;Light Novels,"An anime-focused streaming service such as VRV, Crunchyroll, or Funimation",No,Subs,5,9,8,"Comedy, including Slice-of-Life",Fantasy / Issekai,No,No,Yes,Maybe,Yes
18 - 25,Woman,No,North America,EST,Bachelor's,No,Unemployed,7,Yes,Anime;Manga;Light Novels;Visual Novels,Other sources,Yes,Subs,9,9,2,Supernatural / Magic,Tragedy / Psychological,Yes,Yes,No,Yes,Yes
18 - 25,Man,No,North America,CST,Bachelor's,No,Unemployed,2,No,Anime,Other sources,No,Dubs,9,10,10,Fantasy / Issekai,Action,Yes,Maybe,No,No,Yes
17 or under,Man,No,Europe,CEST,Some high school,Yes,Part-time worker,5,Yes,Anime;Manga;Doujinshi;Visual Novels,Other sources,No,Subs,7,6,7,"Comedy, including Slice-of-Life","Sci-Fi, including Military and Mecha",No,Yes,Yes,Maybe,Yes
26 - 33,Woman,No,North America,Pct,Bachelor's,No,Unemployed,6,Yes,Anime;Doujinshi,"A generalized streaming service such as Netlfix, Hulu, or Amazon Prime Video",No,Dubs,0,9,2,Tragedy / Psychological,Supernatural / Magic,No,Yes,Yes,Yes,Yes
17 or under,Man,No,North America,CST ,Some high school,Yes,Unemployed,5,Yes,Anime,"A generalized streaming service such as Netlfix, Hulu, or Amazon Prime Video",No,Subs,9,9,0,Action,"Sci-Fi, including Military and Mecha",No,No,Yes,Maybe,Yes
18 - 25,Man,No,North America,CST,Bachelor's,No,Full-time,6,Yes,Anime;Manga;Light Novels,"An anime-focused streaming service such as VRV, Crunchyroll, or Funimation",Yes,Subs,7,9,0,Romance / Drama,"Comedy, including Slice-of-Life",No,Yes,No,Maybe,Yes
18 - 25,Man,No,North America,EST,High School Diploma / GED,Yes,Unemployed,3,Yes,Anime;Manga;Doujinshi;Light Novels;Visual Novels,Other sources,Yes,Subs,8,8,6,"Comedy, including Slice-of-Life",Romance / Drama,Yes,Maybe,Yes,Maybe,Yes
26 - 33,Man,No,North America,Est,Bachelor's,No,Full-time,6,Yes,Anime;Light Novels,Other sources,No,Dubs,7,10,5,Fantasy / Issekai,Supernatural / Magic,No,Maybe,No,No,Yes
18 - 25,Man,No,Europe,BST,Ph.D.,No,Full-time,7,No,Anime;Manga;Doujinshi;Light Novels,"An anime-focused streaming service such as VRV, Crunchyroll, or Funimation",Yes,Dubs,7,9,7,Romance / Drama,"Comedy, including Slice-of-Life",No,No,Yes,Maybe,Yes
18 - 25,Man,No,Europe,MEZ,High School Diploma / GED,Yes,Unemployed,7,No,Anime;Manga;Doujinshi;Light Novels,"An anime-focused streaming service such as VRV, Crunchyroll, or Funimation",No,Subs,4,8,3,"Comedy, including Slice-of-Life",Romance / Drama,No,Yes,Yes,Yes,Yes
18 - 25,Man,No,North America,EST,High School Diploma / GED,No,Full-time,4,No,Anime;Doujinshi,Other sources,Yes,Subs,8,9,0,Romance / Drama,Tragedy / Psychological,Yes,Yes,Yes,No,Yes
26 - 33,Man,No,Europe,EET,Bachelor's,Yes,Unemployed,7,Yes,Anime;Manga;Doujinshi,"An anime-focused streaming service such as VRV, Crunchyroll, or Funimation",Yes,Subs,6,5,7,"Comedy, including Slice-of-Life",Tragedy / Psychological,No,Yes,Yes,Maybe,Yes
18 - 25,Man,No,North America,,Ph.D.,No,Unemployed,7,No,Anime;Manga;Doujinshi;Light Novels;Visual Novels,I don't watch anime.,No,Dubs,0,0,0,Fantasy / Issekai,Fantasy / Issekai,No,No,Yes,No,No
18 - 25,Man,No,North America,EST,High School Diploma / GED,Yes,Full-time,4,No,Anime,Other sources,No,Subs,3,7,2,"Comedy, including Slice-of-Life",Tragedy / Psychological,No,Yes,Yes,Yes,Yes
